dataset,seed,harp_elapsed_sec,harp_esep_elapsed_sec,selected_model,selected_esep,two_expert_elapsed_sec,selected_branch_elapsed_sec,overhead_vs_harp,esep_cost_share
actor,0,24.65358543395996,12.855913162231444,harp,False,37.509498596191406,24.65358543395996,1.521462210706383,0.34273753698048076
actor,1,23.59599542617798,14.25286602973938,harp,False,37.84886145591736,23.59599542617798,1.6040374975631204,0.37657317767245707
actor,2,25.606618404388428,13.348610401153564,harp,False,38.95522880554199,25.606618404388428,1.5212953225743349,0.34266543440901354
actor,3,31.3753354549408,14.76318383216858,harp,False,46.13851928710938,31.3753354549408,1.4705346928758898,0.31997524108436787
actor,4,25.482301473617557,13.712129592895508,harp,False,39.19443106651306,25.482301473617557,1.5381040486901076,0.3498489254666303
actor,5,24.3175311088562,13.94502592086792,harp,False,38.26255702972412,24.3175311088562,1.5734556628484904,0.36445619434254695
actor,6,26.077561140060425,14.262178182601929,harp,False,40.33973932266235,26.077561140060425,1.546913804784157,0.3535515702896379
actor,7,26.774998426437374,13.859350681304932,harp,False,40.63434910774231,26.774998426437374,1.5176228383124888,0.3410747553641563
actor,8,25.53194999694824,16.99433469772339,harp,False,42.52628469467163,25.53194999694824,1.6656105271925832,0.3996195487035506
actor,9,26.496536016464237,23.142842054367065,harp,False,49.6393780708313,26.496536016464237,1.8734289659594265,0.4662194200206163
amazon-ratings,0,207.59130191802976,79.42343473434448,harp,False,287.01473665237427,207.59130191802976,1.382595195465877,0.2767224974602623
amazon-ratings,1,118.47828269004822,78.05797386169434,harp,False,196.53625655174255,118.47828269004822,1.6588378231806609,0.397168315054092
amazon-ratings,2,113.78330969810486,77.29542398452759,harp,False,191.07873368263245,113.78330969810486,1.6793212834958957,0.40452133261940876
amazon-ratings,3,120.74852514266968,75.85978031158447,harp,False,196.60830545425415,120.74852514266968,1.6282460197501611,0.38584219591493885
amazon-ratings,4,118.69089102745056,119.76855111122131,harp,False,238.45944213867188,118.69089102745056,2.0090795517199505,0.5022596297175435
amazon-ratings,5,248.3047721385956,163.07194352149963,harp,False,411.3767156600952,248.3047721385956,1.656741077173008,0.3964053805520673
amazon-ratings,6,228.06517267227173,172.1847207546234,harp,False,400.24989342689514,228.06517267227173,1.7549803362657734,0.4301930458504235
amazon-ratings,7,210.83095622062683,148.9396615028381,harp,False,359.77061772346497,210.83095622062683,1.7064411421014392,0.4139850620522865
