dataset,model,seed,train_acc,val_acc,test_acc,metric_name,train_metric,val_metric,test_metric,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,diag_fagcn_edge_gate_mean,diag_fagcn_edge_gate_abs_mean,diag_fagcn_edge_gate_positive_frac,diag_fagcn_edge_gate_min,diag_fagcn_edge_gate_max,diag_fagcn_layers,diag_fagcn_epsilon
texas,fagcn,0,0.9885057210922241,0.8813559412956238,0.8648648858070374,accuracy,0.9885057210922241,0.8813559412956238,0.8648648858070374,0.09372805804014206,0.4380647838115692,0.38485726714134216,13,0.2262248992919922,geom_gcn,texas,0,True,183,279,0.06093189964157706,-0.35287973284721375,0.3726252615451813,0.024193547666072845,-0.8950377702713013,0.9280116558074951,2.0,0.3
wisconsin,fagcn,0,0.675000011920929,0.5874999761581421,0.529411792755127,accuracy,0.675000011920929,0.5874999761581421,0.529411792755127,0.7524158954620361,1.0659319162368774,1.2132434844970703,12,0.24597573280334473,geom_gcn,wisconsin,0,True,251,450,0.17777777777777778,0.998537540435791,0.998537540435791,1.0,0.9545592069625854,1.0,2.0,0.3
cornell,fagcn,0,1.0,0.7796609997749329,0.7297297120094299,accuracy,1.0,0.7796609997749329,0.7297297120094299,0.015270471572875977,0.7367526292800903,1.0385922193527222,30,0.49979496002197266,geom_gcn,cornell,0,True,183,277,0.12274368231046931,-0.3584200143814087,0.3586256504058838,0.0009025270701386034,-0.7982714772224426,0.11392933130264282,2.0,0.3
