dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features
cora,harp_projected,0,1.0,0.7900000214576721,0.7950000166893005,0.5230234861373901,1.0436476469039917,1.0217645168304443,5,4.146613597869873,planetoid,cora,2708,5278,0.8099658961727927,"{'low': [0.26774081587791443, 0.2437460720539093, 0.2441878616809845, 0.24432529509067535], 'high': [0.35356569290161133, 0.32310962677001953, 0.3233245611190796]}",0.18619340658187866,0.0035956890787929296,0.18341970443725586,0.18711614608764648,0.18913374841213226,0.0,0.17168554663658142,0.19403515756130219,64.0
citeseer,harp_projected,0,0.9916666746139526,0.7099999785423279,0.6729999780654907,0.2050662785768509,0.9877119064331055,1.0254969596862793,9,13.583057641983032,planetoid,citeseer,3327,4552,0.7355008787346221,"{'low': [0.27313604950904846, 0.2434513121843338, 0.24175727367401123, 0.24165548384189606], 'high': [0.3713708519935608, 0.3143419027328491, 0.3142872154712677]}",0.18762832880020142,0.006680229213088751,0.1825443059206009,0.18892502784729004,0.19397610425949097,0.0,0.17146597802639008,0.1975875198841095,64.0
pubmed,harp_projected,0,1.0,0.7099999785423279,0.7440000176429749,0.0010653852950781584,1.1601368188858032,1.2223060131072998,32,33.67889738082886,planetoid,pubmed,19717,44324,0.8023869686851367,"{'low': [0.3405206501483917, 0.22167623043060303, 0.22167158126831055, 0.21613147854804993], 'high': [0.42943713068962097, 0.27984216809272766, 0.2907206416130066]}",0.22220365703105927,0.011310585774481297,0.21283194422721863,0.22671467065811157,0.2315075695514679,0.0,0.19022390246391296,0.2359503209590912,64.0
