dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,diag_structure_norm,diag_ego_norm,diag_residual_norm,diag_selector_mean,diag_selector_std,diag_selector_q25,diag_selector_median,diag_selector_q75,diag_selector_gt_0_5,diag_selector_features,diag_adaptive_hidden_norm,diag_esep_minus_self_norm,diag_blend_weight,diag_self_logit_norm,diag_esep_logit_norm,diag_logit_gap_norm
texas,linkx,0,1.0,0.8135592937469482,0.8108108043670654,0.0212389715015888,0.7887572646141052,0.8865797519683838,14,0.3208186626434326,geom_gcn,texas,0,True,183,279,0.060931899641577,,,,,,,,,,,,,,,,,,,,,,,,,,
texas,h2gcn,0,1.0,0.8983050584793091,0.8648648858070374,7.809300586814061e-05,0.5860121846199036,0.7215231657028198,76,0.96917462348938,geom_gcn,texas,0,True,183,279,0.060931899641577,,,,,,,,,,,,,,,,,,,,,,,,,,
texas,harp,0,1.0,0.9322034120559692,0.8918918967247009,0.000300087762298,0.3845149576663971,0.6276440620422363,218,3.335823774337769,geom_gcn,texas,0,True,183,279,0.060931899641577,"{'low': [0.3182212710380554, 0.23577959835529327, 0.22248627245426178, 0.22351284325122833], 'high': [0.4873741567134857, 0.2582986056804657, 0.2543271780014038]}",0.7353649139404297,0.2204411774873733,0.4661551415920257,0.8148280382156372,0.929953396320343,0.7429132461547852,0.1053445637226104,0.9997296929359436,64.0,,,,,,,,,,,,,,,,
texas,harp_x,0,1.0,0.8983050584793091,0.8648648858070374,3.774678816625965e-06,0.7484022974967957,0.8951871991157532,219,4.254297733306885,geom_gcn,texas,0,True,183,279,0.060931899641577,"{'low': [0.5285423994064331, 0.1936819702386856, 0.13808538019657135, 0.13969029486179352], 'high': [0.7021521925926208, 0.14838345348834991, 0.14946436882019043]}",0.5356224179267883,0.1795530021190643,0.4546511173248291,0.4653848707675934,0.6525784134864807,0.40625,0.0047757616266608,0.9988693594932556,64.0,,,,,,,,,,,,,,,,
texas,linkx,1,0.9655172228813172,0.8305084705352783,0.8108108043670654,0.0952953472733497,0.7548081278800964,0.645989179611206,13,0.4686200618743896,geom_gcn,texas,1,True,183,279,0.060931899641577,,,,,,,,,,,,,,,,,,,,,,,,,,
texas,h2gcn,1,1.0,0.8813559412956238,0.837837815284729,0.084282286465168,0.4536670744419098,0.5323429107666016,10,0.5241818428039551,geom_gcn,texas,1,True,183,279,0.060931899641577,,,,,,,,,,,,,,,,,,,,,,,,,,
texas,harp,1,1.0,0.9152542352676392,0.837837815284729,0.000259992404608,0.4931522607803345,0.6391413807868958,99,2.1832146644592285,geom_gcn,texas,1,True,183,279,0.060931899641577,"{'low': [0.32724231481552124, 0.26916199922561646, 0.19753365218639374, 0.20606204867362976], 'high': [0.5172044038772583, 0.24666592478752136, 0.23612967133522034]}",0.6533432006835938,0.2620427906513214,0.3446391522884369,0.7154317498207092,0.9038267135620116,0.639941930770874,0.162356361746788,0.9997398257255554,64.0,,,,,,,,,,,,,,,,
texas,harp_x,1,1.0,0.9322034120559692,0.837837815284729,4.705100309365662e-06,0.6737284064292908,1.0842355489730835,187,4.290428400039673,geom_gcn,texas,1,True,183,279,0.060931899641577,"{'low': [0.42338311672210693, 0.2760189175605774, 0.1503528505563736, 0.1502450704574585], 'high': [0.6052523255348206, 0.19757285714149475, 0.19717487692832947]}",0.4670908749103546,0.1811820715665817,0.4055464565753937,0.4424582123756408,0.5161121487617493,0.2666496038436889,0.0053621232509613,0.9991201758384703,64.0,,,,,,,,,,,,,,,,
wisconsin,linkx,0,1.0,0.887499988079071,0.7647058963775635,0.0010282426374033,0.72123122215271,1.7342134714126587,54,0.7625281810760498,geom_gcn,wisconsin,0,True,251,450,0.1777777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,
wisconsin,h2gcn,0,0.9916666746139526,0.875,0.7647058963775635,0.0292618069797754,0.551435112953186,1.2056392431259155,15,0.6540846824645996,geom_gcn,wisconsin,0,True,251,450,0.1777777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,
