dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features
chameleon,mlp,0,0.9157509207725525,0.5363511443138123,0.5,0.2975080609321594,1.3775678873062134,1.4992588758468628,34,2.7059476375579834,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,
chameleon,gcn,0,0.7307692170143127,0.6104252338409424,0.6074561476707458,0.8288503289222717,1.1155599355697632,1.1187639236450195,67,6.720147371292114,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,
chameleon,h2gcn,0,0.9752747416496277,0.6296296119689941,0.6030701994895935,0.13224560022354126,1.112197995185852,1.203662395477295,79,10.606090545654297,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,,,,,,,,,,
chameleon,harp,0,0.982600748538971,0.5953360795974731,0.5482456088066101,0.06423954665660858,1.6061681509017944,1.7134877443313599,30,14.175891637802124,geom_gcn,chameleon,0,True,2277,31371,0.2299257275827994,"{'low': [0.32374054193496704, 0.23508912324905396, 0.2229299545288086, 0.2182403802871704], 'high': [0.4535214304924011, 0.2591312825679779, 0.28734731674194336]}",0.4717015027999878,0.18061129748821259,0.33760908246040344,0.4477965831756592,0.5846980810165405,0.39044657349586487,0.1276620477437973,0.9992789626121521,64.0
squirrel,mlp,0,0.6919070482254028,0.34795671701431274,0.3285302519798279,1.0305007696151733,1.5308971405029297,1.5164918899536133,13,5.1875481605529785,geom_gcn,squirrel,0,True,5201,198353,0.22213427576089093,,,,,,,,,,
squirrel,gcn,0,0.5268429517745972,0.38641828298568726,0.3996157646179199,1.210758924484253,1.4687998294830322,1.448101282119751,79,22.256432056427002,geom_gcn,squirrel,0,True,5201,198353,0.22213427576089093,,,,,,,,,,
squirrel,h2gcn,0,0.9366987347602844,0.4242788553237915,0.4505283236503601,0.39641427993774414,1.3887131214141846,1.3612865209579468,79,41.831263303756714,geom_gcn,squirrel,0,True,5201,198353,0.22213427576089093,,,,,,,,,,
squirrel,harp,0,0.7003205418586731,0.35757210850715637,0.37944284081459045,0.8938772678375244,1.5234647989273071,1.4888767004013062,22,42.444308280944824,geom_gcn,squirrel,0,True,5201,198353,0.22213427576089093,"{'low': [0.3342219591140747, 0.22438883781433105, 0.22168339788913727, 0.21970584988594055], 'high': [0.4252361059188843, 0.28600066900253296, 0.28876328468322754]}",0.3154328167438507,0.175968199968338,0.21045823395252228,0.24123919010162354,0.35796964168548584,0.1338023990392685,0.010796711780130863,0.9999706745147705,64.0
actor,mlp,0,0.6134868264198303,0.3815789520740509,0.3546052575111389,1.0855756998062134,1.3696943521499634,1.3958429098129272,51,6.5982630252838135,geom_gcn,actor,0,True,7600,26659,0.21673731197719345,,,,,,,,,,
actor,gcn,0,0.44325658679008484,0.3203125,0.3052631616592407,1.3985272645950317,1.5245003700256348,1.5307278633117676,58,8.606995344161987,geom_gcn,actor,0,True,7600,26659,0.21673731197719345,,,,,,,,,,
actor,h2gcn,0,0.5879934430122375,0.3787006437778473,0.36315789818763733,1.1162216663360596,1.3718968629837036,1.390284538269043,39,11.259183883666992,geom_gcn,actor,0,True,7600,26659,0.21673731197719345,,,,,,,,,,
actor,harp,0,0.49698466062545776,0.38116776943206787,0.36315789818763733,1.1792126893997192,1.4111130237579346,1.4246494770050049,17,13.602038860321045,geom_gcn,actor,0,True,7600,26659,0.21673731197719345,"{'low': [0.30223745107650757, 0.23223672807216644, 0.2327553629875183, 0.2327703833580017], 'high': [0.40169230103492737, 0.2989494502544403, 0.29935815930366516]}",0.23257750272750854,0.04349302873015404,0.20647689700126648,0.2158631980419159,0.2443295121192932,0.0005777138285338879,0.14900624752044678,0.6800437569618225,64.0
