dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_num_nodes,meta_num_edges,meta_edge_homophily
pubmed,mlp_reference,0,1.0,0.7319999933242798,0.722000002861023,0.022052207961678505,0.6840582489967346,0.7018564343452454,235,21.493049144744873,planetoid,pubmed,19717,44324,0.8023869686851367
pubmed,gcn_nobias_lowwd,0,0.3499999940395355,0.20000000298023224,0.4129999876022339,1.0803018808364868,1.098610281944275,1.0977952480316162,46,14.722607374191284,planetoid,pubmed,19717,44324,0.8023869686851367
pubmed,gcn_bias,0,0.3499999940395355,0.20000000298023224,0.4129999876022339,1.0803018808364868,1.098556637763977,1.0743438005447388,66,16.397430658340454,planetoid,pubmed,19717,44324,0.8023869686851367
pubmed,gcn_bias_lowwd,0,0.3499999940395355,0.20000000298023224,0.4129999876022339,1.0803018808364868,1.0984594821929932,1.1881887912750244,191,27.534749746322632,planetoid,pubmed,19717,44324,0.8023869686851367
pubmed,gcn_bias_lowlr,0,0.3499999940395355,0.20000000298023224,0.4129999876022339,1.0803018808364868,1.0985761880874634,1.0876206159591675,91,18.535643577575684,planetoid,pubmed,19717,44324,0.8023869686851367
pubmed,sgc_h1_lowwd,0,0.3499999940395355,0.41600000858306885,0.41100001335144043,1.080713152885437,1.091002345085144,1.0882352590560913,1,11.463725328445435,planetoid,pubmed,19717,44324,0.8023869686851367
pubmed,sgc_h2_lowwd,0,0.3499999940395355,0.41600000858306885,0.40400001406669617,1.080712914466858,1.0910090208053589,1.0910520553588867,1,22.787604331970215,planetoid,pubmed,19717,44324,0.8023869686851367
pubmed,sgc_h2_lowlr,0,0.3499999940395355,0.41600000858306885,0.3889999985694885,1.0800331830978394,1.1000339984893799,1.1011803150177002,5,22.45596480369568,planetoid,pubmed,19717,44324,0.8023869686851367
pubmed,appnp_lowlr,0,0.6666666865348816,0.3479999899864197,0.24400000274181366,3.611019327718921e+24,1.6448476314544678,2785914388480.0,82,24.32898736000061,planetoid,pubmed,19717,44324,0.8023869686851367
pubmed,appnp_lowlr_lowwd,0,0.800000011920929,0.46799999475479126,0.29100000858306885,3.9212987511854865e+24,1.689333200454712,3025358815232.0,74,22.968515157699585,planetoid,pubmed,19717,44324,0.8023869686851367
