dataset,splits,harp_elapsed_mean_sec,esep_elapsed_mean_sec,two_expert_elapsed_mean_sec,selected_branch_elapsed_mean_sec,overhead_vs_harp,esep_cost_share,esep_selections
actor,10,25.99124128818512,15.113643455505372,41.10488474369049,25.99124128818512,1.5832465571506982,0.3656721804333457,0
amazon-ratings,10,182.73684442043304,116.18096702098846,298.9178114414215,182.73684442043304,1.6563591737862882,0.39100812411079,0
chameleon,10,20.674218082427977,28.114547181129456,48.78876526355744,28.114547181129456,2.3810527038661164,0.5771846945454935,10
cornell,10,4.368100476264954,0.9328873157501221,5.300987792015076,4.368100476264954,1.2408759324389513,0.18219240479217463,0
roman-empire,10,83.71667885780334,90.00260095596313,173.7192798137665,90.00260095596313,2.111238510819002,0.5209264457003495,10
squirrel,10,86.75123040676117,92.48471689224243,179.2359472990036,92.48471689224243,2.184024045577977,0.5332319569040758,10
texas,10,4.367658638954163,1.304418158531189,5.672076797485351,4.367658638954163,1.343420349628028,0.23708947931692909,0
wisconsin,10,5.583610153198242,1.390467643737793,6.974077796936035,5.583610153198242,1.2547266768803191,0.19452185158926802,0
