dataset,model,seed,train_acc,val_acc,test_acc,metric_name,train_metric,val_metric,test_metric,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,train_roc_auc,val_roc_auc,test_roc_auc,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,diag_ego_norm,diag_residual_norm
minesweeper,harp,0,0.86800075,0.847674,0.848253,roc_auc,0.86800075,0.847674,0.848253,0.3431207537651062,0.3616264760494232,0.3628405034542084,80,18.417418003082275,0.86800075,0.847674,0.848253,heterophilous_graphs,minesweeper,0,True,10000,39402,0.682782599868027,"{'low': [0.13129810988903046, 0.5606820583343506, 0.164884552359581, 0.14313524961471558], 'high': [0.7185345888137817, 0.13289549946784973, 0.1485700011253357]}",0.2958458364009857,0.04204234480857849,0.2616901993751526,0.30715808272361755,0.3154938519001007,0.0,0.194220632314682,0.4547779858112335,64.0,,
minesweeper,harp_esep,0,0.89931975,0.878757,0.88708,roc_auc,0.89931975,0.878757,0.88708,0.3374485969543457,0.34931132197380066,0.3453024625778198,80,15.862769603729248,0.89931975,0.878757,0.88708,heterophilous_graphs,minesweeper,0,True,10000,39402,0.682782599868027,"{'low': [0.17303448915481567, 0.6407243013381958, 0.18624120950698853], 'high': [0.1986204832792282, 0.8013795018196106]}",0.44171714782714844,0.12566623091697693,0.365306556224823,0.42307066917419434,0.5224105715751648,0.28010624647140503,0.11707767844200134,0.8459588885307312,64.0,1.8354336023330688,0.8074063062667847
tolokers,harp,0,0.7942285372010092,0.7798173545740785,0.7662022915768554,roc_auc,0.7942285372010092,0.7798173545740785,0.7662022915768554,0.4212808609008789,0.4316512644290924,0.440390944480896,80,130.06343913078308,0.7942285372010092,0.7798173545740785,0.7662022915768554,heterophilous_graphs,tolokers,0,True,11758,519000,0.5945221579961464,"{'low': [0.22077204287052155, 0.3048120141029358, 0.25115886330604553, 0.22325702011585236], 'high': [0.5702487230300903, 0.21701911091804504, 0.21273213624954224]}",0.32518285512924194,0.08507764339447021,0.2714571952819824,0.314590185880661,0.36740371584892273,0.04171362146735191,0.15017130970954895,0.6584290266036987,64.0,,
tolokers,harp_esep,0,0.7827074544471556,0.7692512922449013,0.7567826147076288,roc_auc,0.7827074544471556,0.7692512922449013,0.7567826147076288,0.44207990169525146,0.4481148421764374,0.4548235535621643,80,53.791300535202026,0.7827074544471556,0.7692512922449013,0.7567826147076288,heterophilous_graphs,tolokers,0,True,11758,519000,0.5945221579961464,"{'low': [0.14999966323375702, 0.4076651334762573, 0.44233521819114685], 'high': [0.6204931735992432, 0.37950682640075684]}",0.25740846991539,0.22280970215797424,0.051236510276794434,0.23261314630508423,0.3886925280094147,0.07745391130447388,6.144101644167677e-05,0.9996330738067627,64.0,2.720285654067993,1.4942224025726318
questions,harp,0,0.7803871176304199,0.728731447967719,0.7519699429012097,roc_auc,0.7803871176304199,0.728731447967719,0.7519699429012097,0.11506965756416321,0.11869031935930252,0.11905825883150101,80,136.37775373458862,0.7803871176304199,0.728731447967719,0.7519699429012097,heterophilous_graphs,questions,0,True,48921,153540,0.8395662368112544,"{'low': [0.2958604097366333, 0.19585026800632477, 0.25894877314567566, 0.24934051930904388], 'high': [0.44042229652404785, 0.3698056638240814, 0.18977203965187073]}",0.32532045245170593,0.12042820453643799,0.25786614418029785,0.30594465136528015,0.3150096833705902,0.12549377977848053,0.08089594542980194,0.9170871376991272,64.0,,
questions,harp_esep,0,0.7727524837065387,0.7364452834109763,0.7424634445370565,roc_auc,0.7727524837065387,0.7364452834109763,0.7424634445370565,0.11710630357265472,0.11970146745443344,0.12124175578355789,41,77.21901178359985,0.7727524837065387,0.7364452834109763,0.7424634445370565,heterophilous_graphs,questions,0,True,48921,153540,0.8395662368112544,"{'low': [0.3315064609050751, 0.3267441391944885, 0.3417493999004364], 'high': [0.4560835361480713, 0.5439164638519287]}",0.3204193413257599,0.09602327644824982,0.27214378118515015,0.3202800452709198,0.3484438359737396,0.05783111974596977,0.00450168875977397,0.9992142915725708,64.0,1.5395586490631104,0.7867477536201477
