dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights
cora,mlp,0,1.0,0.6240000128746033,0.6100000143051147,0.10308023542165756,1.2914297580718994,1.2639862298965454,99,7.396521091461182,planetoid,cora,2708,5278,0.8099658961727927,
cora,gcn,0,0.9642857313156128,0.8080000281333923,0.8080000281333923,0.9313874244689941,1.3298722505569458,1.3095180988311768,35,5.6169469356536865,planetoid,cora,2708,5278,0.8099658961727927,
cora,sgc,0,0.9785714149475098,0.7839999794960022,0.7950000166893005,1.6786545515060425,1.8012044429779053,1.7960703372955322,84,16.0930016040802,planetoid,cora,2708,5278,0.8099658961727927,
cora,appnp,0,0.9857142567634583,0.8100000023841858,0.8309999704360962,0.3759676218032837,0.8333689570426941,0.7885869741439819,80,9.986830949783325,planetoid,cora,2708,5278,0.8099658961727927,
cora,harp,0,1.0,0.7900000214576721,0.7950000166893005,0.5230235457420349,1.0436478853225708,1.0217645168304443,5,34.52636408805847,planetoid,cora,2708,5278,0.8099658961727927,"{'low': [0.26774081587791443, 0.2437460720539093, 0.2441878467798233, 0.24432529509067535], 'high': [0.35356569290161133, 0.32310962677001953, 0.3233245611190796]}"
cora,mlp,1,1.0,0.6119999885559082,0.5870000123977661,0.10077917575836182,1.3115237951278687,1.28627347946167,103,8.148214101791382,planetoid,cora,2708,5278,0.8099658961727927,
cora,gcn,1,1.0,0.8040000200271606,0.8140000104904175,0.20808270573616028,0.7787980437278748,0.7439630031585693,111,9.37982988357544,planetoid,cora,2708,5278,0.8099658961727927,
cora,sgc,1,0.9785714149475098,0.7820000052452087,0.7960000038146973,1.6884710788726807,1.8073383569717407,1.8022968769073486,77,14.284428596496582,planetoid,cora,2708,5278,0.8099658961727927,
cora,appnp,1,0.9428571462631226,0.8059999942779541,0.8360000252723694,0.6902554035186768,1.079960823059082,1.0478358268737793,52,7.553692817687988,planetoid,cora,2708,5278,0.8099658961727927,
cora,harp,1,1.0,0.7979999780654907,0.7860000133514404,0.0697040781378746,0.7207615375518799,0.6699844598770142,12,35.951547145843506,planetoid,cora,2708,5278,0.8099658961727927,"{'low': [0.29224106669425964, 0.23705892264842987, 0.23523370921611786, 0.23546631634235382], 'high': [0.38387414813041687, 0.30809852480888367, 0.30802732706069946]}"
cora,mlp,2,1.0,0.6100000143051147,0.5600000023841858,1.1248329877853394,1.7068489789962769,1.7035382986068726,30,5.03690242767334,planetoid,cora,2708,5278,0.8099658961727927,
cora,gcn,2,0.9857142567634583,0.7979999780654907,0.8169999718666077,0.36410561203956604,0.9135382175445557,0.8764044046401978,61,7.175280809402466,planetoid,cora,2708,5278,0.8099658961727927,
cora,sgc,2,0.9785714149475098,0.7860000133514404,0.7979999780654907,1.6957828998565674,1.8115993738174438,1.8067574501037598,72,15.151384592056274,planetoid,cora,2708,5278,0.8099658961727927,
cora,appnp,2,0.9928571581840515,0.8180000185966492,0.8309999704360962,0.25637006759643555,0.7183285355567932,0.6815283298492432,131,12.547150373458862,planetoid,cora,2708,5278,0.8099658961727927,
cora,harp,2,1.0,0.7839999794960022,0.781000018119812,0.020044788718223572,0.7404244542121887,0.6720340251922607,16,38.6518714427948,planetoid,cora,2708,5278,0.8099658961727927,"{'low': [0.2910207211971283, 0.2419004887342453, 0.2334338128566742, 0.23364494740962982], 'high': [0.39711853861808777, 0.30102476477622986, 0.30185672640800476]}"
