dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,diag_ego_norm,diag_residual_norm
texas,harp_esep,0,1.0,0.8305084705352783,0.7567567825317383,0.00014725500659551471,0.8323624730110168,1.2975233793258667,226,2.4311318397521973,geom_gcn,texas,0,True,183,279,0.06093189964157706,"{'low': [0.40955930948257446, 0.2530026137828827, 0.33743807673454285], 'high': [0.7462173104286194, 0.2537826597690582]}",0.47261232137680054,0.10699670016765594,0.4207390546798706,0.4686867594718933,0.49742352962493896,0.2257513701915741,3.6953493690816686e-05,0.9999837875366211,64.0,7.352954864501953,4.429988384246826
texas,harp_esep,1,0.9885057210922241,0.7627118825912476,0.7567567825317383,0.05351809412240982,0.8459944128990173,0.6955521702766418,13,0.6401779651641846,geom_gcn,texas,1,True,183,279,0.06093189964157706,"{'low': [0.36021122336387634, 0.33913785219192505, 0.30065101385116577], 'high': [0.5148871541023254, 0.48511284589767456]}",0.2896217107772827,0.10607518255710602,0.22725826501846313,0.284322053194046,0.34231287240982056,0.03261611983180046,0.0003497782163321972,0.997116208076477,64.0,8.23521900177002,4.909876823425293
texas,harp_esep,2,1.0,0.7796609997749329,0.7567567825317383,0.04530337080359459,0.639585018157959,0.8534778952598572,11,0.5137748718261719,geom_gcn,texas,2,True,183,279,0.06093189964157706,"{'low': [0.3493814468383789, 0.3256470859050751, 0.324971467256546], 'high': [0.5248912572860718, 0.475108802318573]}",0.32830238342285156,0.20222266018390656,0.16190142929553986,0.32277899980545044,0.4371602535247803,0.17264343798160553,1.1404983524698764e-05,0.9999051094055176,64.0,9.849865913391113,5.7692742347717285
texas,harp_esep,3,1.0,0.8983050584793091,0.7297297120094299,0.0001250628411071375,0.542191207408905,0.8056385517120361,104,1.3644237518310547,geom_gcn,texas,3,True,183,279,0.06093189964157706,"{'low': [0.40885138511657715, 0.2700771987438202, 0.3210713863372803], 'high': [0.6472167372703552, 0.3527832329273224]}",0.34533563256263733,0.15109369158744812,0.24554705619812012,0.3449663519859314,0.4216178059577942,0.1041666641831398,1.2848557162215002e-05,0.9999393224716187,64.0,8.069457054138184,4.837031364440918
texas,harp_esep,4,1.0,0.8813559412956238,0.7567567825317383,0.00012158141908003017,0.4120280146598816,0.9409052729606628,121,1.5320250988006592,geom_gcn,texas,4,True,183,279,0.06093189964157706,"{'low': [0.3659692704677582, 0.3055817484855652, 0.32844898104667664], 'high': [0.594090461730957, 0.40590962767601013]}",0.36944395303726196,0.10993586480617523,0.3177034258842468,0.3717413544654846,0.40853267908096313,0.07377049326896667,0.00397027051076293,0.9994964599609375,64.0,8.048287391662598,4.531620979309082
texas,harp_esep,5,1.0,0.8474576473236084,0.7297297120094299,0.00012305681593716145,0.6602734327316284,0.7602434158325195,116,1.5060632228851318,geom_gcn,texas,5,True,183,279,0.06093189964157706,"{'low': [0.383942186832428, 0.31794801354408264, 0.2981097400188446], 'high': [0.676855206489563, 0.323144793510437]}",0.37322357296943665,0.1298806369304657,0.3117336928844452,0.3725993037223816,0.43882882595062256,0.10169057548046112,6.4670571191527415e-06,0.9999603033065796,64.0,7.767480850219727,4.59238338470459
texas,harp_esep,6,0.9885057210922241,0.8474576473236084,0.6756756901741028,0.08320896327495575,0.623094916343689,0.7189390063285828,9,0.4833066463470459,geom_gcn,texas,6,True,183,279,0.06093189964157706,"{'low': [0.3584807217121124, 0.32625409960746765, 0.3152652084827423], 'high': [0.5247294902801514, 0.47527050971984863]}",0.31414327025413513,0.16917437314987183,0.18526652455329895,0.30779701471328735,0.40737199783325195,0.12073087692260742,8.243747288361192e-05,0.9998480081558228,64.0,6.803122520446777,3.7961232662200928
texas,harp_esep,7,1.0,0.8983050584793091,0.7837837934494019,0.00010447710519656539,0.5814339518547058,0.9036281704902649,171,2.0439069271087646,geom_gcn,texas,7,True,183,279,0.06093189964157706,"{'low': [0.39210689067840576, 0.21902644634246826, 0.388866662979126], 'high': [0.7084731459617615, 0.2915269434452057]}",0.43990620970726013,0.11537519842386246,0.3764859437942505,0.43545567989349365,0.48567578196525574,0.19313524663448334,0.0030209552496671677,0.9903348088264465,64.0,7.859119415283203,4.59879732131958
texas,harp_esep,8,1.0,0.8474576473236084,0.7297297120094299,0.04036977142095566,0.46646490693092346,0.6565134525299072,14,0.6936061382293701,geom_gcn,texas,8,True,183,279,0.06093189964157706,"{'low': [0.36582300066947937, 0.316933274269104, 0.3172438144683838], 'high': [0.5421556234359741, 0.4578443765640259]}",0.30028578639030457,0.17214645445346832,0.17208309471607208,0.28208836913108826,0.38651227951049805,0.11851093173027039,5.9645073633873835e-05,0.9997820258140564,64.0,8.76925277709961,5.005920886993408
texas,harp_esep,9,1.0,0.8305084705352783,0.8648648858070374,0.0001974266197066754,0.6145873665809631,0.3656388223171234,139,1.8357651233673096,geom_gcn,texas,9,True,183,279,0.06093189964157706,"{'low': [0.3554539680480957, 0.2865583300590515, 0.3579876720905304], 'high': [0.6622838377952576, 0.33771613240242004]}",0.40095627307891846,0.1325681358575821,0.34352535009384155,0.3969411253929138,0.4474499821662903,0.11022882163524628,2.2444537250976282e-07,0.9999895095825195,64.0,7.725127696990967,4.4188151359558105
wisconsin,harp_esep,0,1.0,0.8999999761581421,0.7254902124404907,0.0001993228797800839,0.28733545541763306,1.288822889328003,131,1.9911270141601562,geom_gcn,wisconsin,0,True,251,450,0.17777777777777778,"{'low': [0.39588963985443115, 0.2763480246067047, 0.32776230573654175], 'high': [0.6635029315948486, 0.33649709820747375]}",0.40950024127960205,0.19210422039031982,0.29147234559059143,0.40423691272735596,0.5127393007278442,0.2656872570514679,1.7940677935257554e-05,0.9999769926071167,64.0,9.695268630981445,5.649542808532715
wisconsin,harp_esep,1,1.0,0.8125,0.8235294222831726,0.0047169518657028675,0.9799442291259766,0.7345107793807983,17,0.678123950958252,geom_gcn,wisconsin,1,True,251,450,0.17777777777777778,"{'low': [0.38209861516952515, 0.2826365530490875, 0.3352648615837097], 'high': [0.5793411731719971, 0.42065876722335815]}",0.4435260593891144,0.3218090534210205,0.13059596717357635,0.41863614320755005,0.7303237915039062,0.4282245934009552,6.540030184076784e-10,1.0,64.0,10.900933265686035,6.024813652038574
wisconsin,harp_esep,2,0.9916666746139526,0.8374999761581421,0.7843137383460999,0.01560817938297987,0.7290988564491272,0.5404943823814392,17,0.8687279224395752,geom_gcn,wisconsin,2,True,251,450,0.17777777777777778,"{'low': [0.38623693585395813, 0.29109668731689453, 0.32266637682914734], 'high': [0.5786957144737244, 0.42130422592163086]}",0.3390919268131256,0.17300266027450562,0.21536853909492493,0.31159496307373047,0.42720597982406616,0.1563122570514679,2.3691225578659214e-05,0.9999946355819702,64.0,9.370199203491211,5.499841690063477
