z,datasets,splits,esep_selections,macro_mean_test_acc,macro_mean_oracle_regret,macro_oracle_match_rate
0.0,8,80,48,0.6458817653357982,0.004196191206574439,0.8875
0.5,8,80,41,0.648665314540267,0.001412642002105713,0.9125
1.0,8,80,34,0.6475155375897885,0.0025624189525842687,0.8375
1.645,8,80,31,0.6471035245805978,0.0029744319617748295,0.8
1.96,8,80,30,0.6471610903739929,0.0029168661683797873,0.8125
2.58,8,80,26,0.6436249062418937,0.006453050300478939,0.7625
