dataset,model,seed,train_acc,val_acc,test_acc,metric_name,train_metric,val_metric,test_metric,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,diag_fagcn_edge_gate_mean,diag_fagcn_edge_gate_abs_mean,diag_fagcn_edge_gate_positive_frac,diag_fagcn_edge_gate_min,diag_fagcn_edge_gate_max,diag_fagcn_layers,diag_fagcn_epsilon
roman-empire,fagcn,0,0.6263348460197449,0.6231244206428528,0.6161313056945801,accuracy,0.6263348460197449,0.6231244206428528,0.6161313056945801,1.1930396556854248,1.2405247688293457,1.2369022369384766,30,77.35081958770752,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706,-0.028360038995742798,0.03347254917025566,0.041592005640268326,-0.11237753927707672,0.25233325362205505,2.0,0.3
amazon-ratings,fagcn,0,0.369345098733902,0.3718765377998352,0.37334638833999634,accuracy,0.369345098733902,0.3718765377998352,0.37334638833999634,1.4012141227722168,1.402432918548584,1.4026211500167847,7,49.36306715011597,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155,0.5076431632041931,0.5076545476913452,0.9967544078826904,-0.014864210970699787,0.9900932908058167,2.0,0.3
