dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features
texas,harp,0,1.0,0.9322034120559692,0.8918918967247009,0.00029955050558783114,0.3844134211540222,0.6273589134216309,218,7.872325897216797,geom_gcn,texas,0,True,183,279,0.06093189964157706,"{'low': [0.3182179927825928, 0.23578369617462158, 0.2224860042333603, 0.22351229190826416], 'high': [0.4873754680156708, 0.25829771161079407, 0.25432682037353516]}",0.7353875637054443,0.22041793167591095,0.46615514159202576,0.8149087429046631,0.9298864603042603,0.7429132461547852,0.10528820008039474,0.9997300505638123,64.0
texas,harp,1,1.0,0.9152542352676392,0.837837815284729,0.00025999240460805595,0.4931517243385315,0.639140784740448,99,5.238847494125366,geom_gcn,texas,1,True,183,279,0.06093189964157706,"{'low': [0.32724231481552124, 0.26916196942329407, 0.19753365218639374, 0.20606203377246857], 'high': [0.5172044038772583, 0.24666590988636017, 0.23612967133522034]}",0.653343141078949,0.2620427906513214,0.3446391522884369,0.715431809425354,0.9038265943527222,0.639941930770874,0.16235636174678802,0.9997398257255554,64.0
texas,harp,2,1.0,0.9322034120559692,0.8108108043670654,0.0002244671486550942,0.4525422751903534,0.9543339610099792,115,5.715268850326538,geom_gcn,texas,2,True,183,279,0.06093189964157706,"{'low': [0.3027121126651764, 0.23597697913646698, 0.23233184218406677, 0.22897909581661224], 'high': [0.5393775105476379, 0.23401854932308197, 0.2266039252281189]}",0.6975991725921631,0.2543516755104065,0.36872851848602295,0.791452944278717,0.9248249530792236,0.6949282884597778,0.012800897471606731,0.9998972415924072,64.0
texas,harp,3,1.0,0.8983050584793091,0.8918918967247009,0.0030574232805520296,0.3595982491970062,0.3859776556491852,40,3.231081485748291,geom_gcn,texas,3,True,183,279,0.06093189964157706,"{'low': [0.2827458381652832, 0.27956777811050415, 0.218950554728508, 0.21873575448989868], 'high': [0.4819358289241791, 0.25446316599845886, 0.26360100507736206]}",0.5798517465591431,0.3657207190990448,0.23509839177131653,0.5995281934738159,0.980659008026123,0.5278347134590149,4.134395203436725e-05,1.0,64.0
texas,harp,4,1.0,0.9491525292396545,0.9189189076423645,0.0009965605568140745,0.1969630867242813,0.32593271136283875,44,3.3319449424743652,geom_gcn,texas,4,True,183,279,0.06093189964157706,"{'low': [0.281917005777359, 0.2842710018157959, 0.220000758767128, 0.21381117403507233], 'high': [0.4690893292427063, 0.2654087245464325, 0.2655019164085388]}",0.580905020236969,0.31511807441711426,0.2513898015022278,0.6275471448898315,0.8969911932945251,0.5720628499984741,0.0004633924982044846,0.999998927116394,64.0
texas,harp,5,1.0,0.9491525292396545,0.837837815284729,0.0005725158262066543,0.24397067725658417,0.3281179666519165,84,4.346060276031494,geom_gcn,texas,5,True,183,279,0.06093189964157706,"{'low': [0.29442036151885986, 0.30644920468330383, 0.19972528517246246, 0.19940517842769623], 'high': [0.525847315788269, 0.2441563904285431, 0.2299962341785431]}",0.7209224104881287,0.2783403992652893,0.4035012722015381,0.8537939786911011,0.9579835534095764,0.7286543846130371,0.0010308547643944621,0.9999977350234985,64.0
texas,harp,6,1.0,0.8644067645072937,0.9189189076423645,0.01173753198236227,0.523939847946167,0.27531158924102783,23,2.372913360595703,geom_gcn,texas,6,True,183,279,0.06093189964157706,"{'low': [0.28911498188972473, 0.2456975132226944, 0.2325575351715088, 0.2326299399137497], 'high': [0.41334325075149536, 0.2994013726711273, 0.2872554063796997]}",0.666944146156311,0.3397471308708191,0.2927900552749634,0.8221285939216614,0.990398645401001,0.6412226557731628,0.00039335337351076305,1.0,64.0
texas,harp,7,1.0,0.8644067645072937,0.7837837934494019,0.020577343180775642,0.5306443572044373,0.5938776135444641,17,2.365821361541748,geom_gcn,texas,7,True,183,279,0.06093189964157706,"{'low': [0.2839416265487671, 0.2686919867992401, 0.22431448101997375, 0.22305192053318024], 'high': [0.39164090156555176, 0.30164000391960144, 0.3067191243171692]}",0.6436442136764526,0.3188629448413849,0.2990717589855194,0.7368967533111572,0.955397367477417,0.641991138458252,0.00013718918489757925,1.0,64.0
texas,harp,8,1.0,0.9322034120559692,0.8648648858070374,0.0005132757360115647,0.28412413597106934,0.4565184414386749,103,5.455275535583496,geom_gcn,texas,8,True,183,279,0.06093189964157706,"{'low': [0.30659472942352295, 0.2523346543312073, 0.22188153862953186, 0.2191891074180603], 'high': [0.49134111404418945, 0.2553026080131531, 0.2533562183380127]}",0.6863008737564087,0.2733103930950165,0.3490749001502991,0.7895662188529968,0.9387733340263367,0.6666666865348816,0.046553611755371094,0.9999923706054688,64.0
texas,harp,9,1.0,0.8644067645072937,0.8918918967247009,0.0009899829747155309,0.6304507851600647,0.33679676055908203,58,3.747047185897827,geom_gcn,texas,9,True,183,279,0.06093189964157706,"{'low': [0.3207002282142639, 0.2534077763557434, 0.2137894183397293, 0.21210257709026337], 'high': [0.4939671754837036, 0.2590923607349396, 0.2469405084848404]}",0.6668482422828674,0.29972317814826965,0.34613102674484253,0.7666983604431152,0.9472252130508423,0.677681028842926,7.503782398998737e-05,0.9999969005584717,64.0
wisconsin,harp,0,1.0,0.887499988079071,0.8235294222831726,0.00037714882637374103,0.6157723069190979,1.039914846420288,87,6.082817316055298,geom_gcn,wisconsin,0,True,251,450,0.17777777777777778,"{'low': [0.30036789178848267, 0.22120359539985657, 0.24336174130439758, 0.23506684601306915], 'high': [0.4791017472743988, 0.2635258436203003, 0.2573724687099457]}",0.7149571776390076,0.27509835362434387,0.4222594201564789,0.8373417854309082,0.9526990652084351,0.7234188318252563,0.027171021327376366,0.9999946355819702,64.0
wisconsin,harp,1,1.0,0.8500000238418579,0.8627451062202454,0.00042421306716278195,0.9903032183647156,0.695564329624176,68,5.430603265762329,geom_gcn,wisconsin,1,True,251,450,0.17777777777777778,"{'low': [0.3226620554924011, 0.23615334928035736, 0.21841850876808167, 0.22276611626148224], 'high': [0.4694073498249054, 0.2735510468482971, 0.2570415735244751]}",0.6892127394676208,0.2471161186695099,0.4818626642227173,0.7533148527145386,0.9121102094650269,0.7350597381591797,0.04306511580944061,0.999988317489624,64.0
