dataset,model,seed,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_epoch,elapsed_sec,meta_dataset_type,meta_source,meta_split_id,meta_make_undirected,meta_num_nodes,meta_num_edges,meta_edge_homophily,filter_weights,diag_gate_mean,diag_gate_std,diag_gate_q25,diag_gate_median,diag_gate_q75,diag_gate_gt_0_5,diag_gate_min,diag_gate_max,diag_gate_features,diag_ego_norm,diag_residual_norm
roman-empire,harp,0,0.8883593678474426,0.7631068229675293,0.7506177425384521,0.3566608726978302,0.767049252986908,0.7786384224891663,78,41.80746006965637,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706,"{'low': [0.29768142104148865, 0.29484304785728455, 0.20957769453525543, 0.19789786636829376], 'high': [0.48227807879447937, 0.2781597077846527, 0.2395622283220291]}",0.5337134003639221,0.15781837701797485,0.4291720986366272,0.567156195640564,0.6413627862930298,0.6641349196434021,0.16330237686634064,0.9182072281837463,64.0,,
roman-empire,harp_esep,0,0.7889859676361084,0.7569285035133362,0.7610307335853577,0.6308262944221497,0.7497507929801941,0.7440481781959534,78,36.089258432388306,heterophilous_graphs,roman_empire,0,True,22662,32927,0.04689160871017706,"{'low': [0.24238990247249603, 0.44388240575790405, 0.31372764706611633], 'high': [0.4691157042980194, 0.530884325504303]}",0.4855961203575134,0.26321497559547424,0.2642643451690674,0.4796527028083801,0.7134082317352295,0.4801078140735626,0.005447812378406525,0.9979251623153687,64.0,1.415173888206482,0.5859085321426392
amazon-ratings,harp,0,0.46104851365089417,0.4228319525718689,0.419075608253479,1.2643516063690186,1.341790795326233,1.3344560861587524,78,63.79319739341736,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155,"{'low': [0.17185986042022705, 0.17622843384742737, 0.33132028579711914, 0.3205914795398712], 'high': [0.7101849317550659, 0.14602530002593994, 0.14378975331783295]}",0.38131800293922424,0.1699123978614807,0.28356432914733887,0.3110288977622986,0.4450245797634125,0.20370171964168549,0.04161571338772774,0.9902865886688232,64.0,,
amazon-ratings,harp_esep,0,0.4474113881587982,0.41874897480010986,0.4211987555027008,1.2849513292312622,1.3282976150512695,1.3238906860351562,80,25.374372482299805,heterophilous_graphs,amazon_ratings,0,True,24492,93050,0.3803761418592155,"{'low': [0.1617574542760849, 0.4197293221950531, 0.4185132682323456], 'high': [0.3021995425224304, 0.6978004574775696]}",0.32813459634780884,0.20857547223567963,0.1356355994939804,0.32177698612213135,0.41535061597824097,0.1642105132341385,0.0006299780216068029,0.9668051600456238,64.0,1.0693942308425903,0.34645599126815796
