best_epoch,dataset,elapsed_sec,meta_dataset_type,meta_edge_homophily,meta_make_undirected,meta_num_edges,meta_num_nodes,meta_source,meta_split_id,model,seed,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
231,amazon-ratings,76.86774778366089,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,0,appnp,0,0.4218520224094391,1.3300178050994873,0.4355708062648773,1.309831976890564,0.4264249503612518,1.3328711986541748
236,amazon-ratings,52.468379735946655,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,1,appnp,1,0.4221786558628082,1.3305608034133911,0.4370406568050384,1.3162723779678345,0.4238118529319763,1.3360775709152222
250,amazon-ratings,71.3670802116394,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,2,appnp,2,0.4211987555027008,1.3342289924621582,0.4301812946796417,1.3182114362716677,0.4249550998210907,1.3299659490585327
110,amazon-ratings,47.638145446777344,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,3,appnp,3,0.4198922216892242,1.3430893421173096,0.428384780883789,1.3311381340026855,0.4252817332744598,1.3387091159820557
249,amazon-ratings,74.02925848960876,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,4,appnp,4,0.4218520224094391,1.3254809379577637,0.4376122951507568,1.3157507181167605,0.4293646812438965,1.3296492099761963
221,amazon-ratings,73.43047785758972,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,5,appnp,5,0.4296913146972656,1.327290654182434,0.4320594370365143,1.315733790397644,0.4285480976104736,1.3345948457717896
240,amazon-ratings,76.46387004852295,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,6,appnp,6,0.4195655584335327,1.333026647567749,0.4324677586555481,1.3161004781723022,0.4272415339946747,1.3286471366882324
247,amazon-ratings,74.9237949848175,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,7,appnp,7,0.4194022417068481,1.3315166234970093,0.435489147901535,1.311994194984436,0.4216887056827545,1.331270456314087
183,amazon-ratings,72.72146582603455,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,8,appnp,8,0.4216887056827545,1.332226276397705,0.4332026839256286,1.3118536472320557,0.4229952692985534,1.3334027528762815
206,amazon-ratings,73.56544542312622,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,9,appnp,9,0.4301812946796417,1.3320640325546265,0.4386738538742065,1.3156501054763794,0.4215253889560699,1.3295611143112185
230,amazon-ratings,41.15423440933228,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,0,gcn,0,0.4305079281330108,1.323276400566101,0.4470847547054291,1.2969801425933838,0.4323044121265411,1.3262194395065308
238,amazon-ratings,30.755728483200077,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,1,gcn,1,0.4282214641571045,1.3218740224838257,0.4485546350479126,1.2988827228546145,0.4278948307037353,1.3256582021713257
239,amazon-ratings,46.33620357513428,heterophilous_graphs,0.3803761418592155,True,93050,24492,amazon_ratings,2,gcn,2,0.4321410953998565,1.3261545896530151,0.4432467818260193,1.2974026203155518,0.4342642426490783,1.319704532623291
