margin_bin,splits,mean_margin_z,esep_test_win_rate,mean_test_diff,selected_by_1_96_rate
<0,27,-0.8705932822138389,0.14814814814814814,-0.06254367475156429,0.0
"[0, 1)",19,0.36443032083340776,0.42105263157894735,-0.02459884944714997,0.0
"[1, 1.96)",4,1.3019663328577427,0.75,0.007088944315910367,0.0
>=1.96,30,4.007380279298552,1.0,0.06698407928148906,1.0
